Tissue,Dataset,Status,Accuracy,Macro F1,Weighted F1,Original GT Cells,Original Pred Cells,Matched Cells,Coverage %,Results Directory
brain,Choudhury2022,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,brain_Choudhury2022
brain,Filbin2018,success,0.0425,0.0418,0.0176,-,-,-,100.0,brain_Filbin2018
brain,Neftel2019,success,0.0568,0.0215,0.0061,-,-,-,100.0,brain_Neftel2019
brain,Tirosh2016,success,0.0053,0.0035,0.0001,-,-,-,100.0,brain_Tirosh2016
brain,Venteicher2017,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,brain_Venteicher2017
brain,Wang2019,success,0.2426,0.0976,0.0947,-,-,-,100.0,brain_Wang2019
brain,Yuan2018,success,0.1629,0.2353,0.1937,-,-,-,100.0,brain_Yuan2018
breast,Bassez2021,success,0.0647,0.0556,0.1014,-,-,-,100.0,breast_Bassez2021
breast,Gao2021,success,0.0606,0.0163,0.0069,-,-,-,100.0,breast_Gao2021
breast,Gulati2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,breast_Gulati2020
breast,Karaayvas2018,success,0.2751,0.0616,0.1187,-,-,-,100.0,breast_Karaayvas2018
breast,Qian2020,success,0.0523,0.0166,0.0052,-,-,-,100.0,breast_Qian2020
breast,Wu2021,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,breast_Wu2021
colorectal,Lee2020,success,0.0476,0.0130,0.0043,-,-,-,100.0,colorectal_Lee2020
colorectal,Li2017,success,0.4000,0.2762,0.4199,-,-,-,100.0,colorectal_Li2017
head_neck,Kurten2021,success,0.0647,0.1217,0.0584,-,-,-,100.0,head_neck_Kurten2021
hematologic,Caron2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Caron2020
hematologic,Galen2019,success,0.2090,0.1302,0.2459,-,-,-,100.0,hematologic_Galen2019
hematologic,Giustacchini2017,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Giustacchini2017
hematologic,Liu2021,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Liu2021
hematologic,Nam2019,success,0.1021,0.0863,0.0209,-,-,-,100.0,hematologic_Nam2019
hematologic,Rendeiro2020,success,0.5955,0.6540,0.4700,-,-,-,100.0,hematologic_Rendeiro2020
hematologic,Roider2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Roider2020
hematologic,Steen2021,success,0.1455,0.2425,0.1990,-,-,-,100.0,hematologic_Steen2021
hematologic,Wu2020,success,0.0589,0.0278,0.0065,-,-,-,100.0,hematologic_Wu2020
kidney,Krishna2021,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kidney_Krishna2021
kidney,Obradovic2021,success,0.0210,0.0068,0.0009,-,-,-,100.0,kidney_Obradovic2021
kidney,Young2018,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kidney_Young2018
kidney,Zhang2021,success,0.6290,0.4468,0.6313,-,-,-,100.0,kidney_Zhang2021
liver,Ma2019,success,0.7624,0.3807,0.7653,-,-,-,100.0,liver_Ma2019
liver,Sun2021,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,liver_Sun2021
lung,Chan2021,success,0.0000,0.0000,0.0000,-,-,-,100.0,lung_Chan2021
lung,Kim2020,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lung_Kim2020
lung,Laughney2020,success,0.7203,0.2740,0.7502,-,-,-,100.0,lung_Laughney2020
lung,Qian2020,success,0.6667,0.5638,0.6403,-,-,-,100.0,lung_Qian2020
lung,Song2019,success,0.5564,0.2355,0.6442,-,-,-,100.0,lung_Song2019
lung,Xing2021,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lung_Xing2021
lung,Zilionis2019,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lung_Zilionis2019
neuroendocrine,Dong2020,success,0.1128,0.0338,0.0229,-,-,-,100.0,neuroendocrine_Dong2020
neuroendocrine,Jansky2021,success,0.5069,0.2570,0.5206,-,-,-,100.0,neuroendocrine_Jansky2021
neuroendocrine,Kildisiute2021,success,0.2290,0.0621,0.0854,-,-,-,100.0,neuroendocrine_Kildisiute2021
neuroendocrine,Rao2020,success,0.0734,0.1387,0.0833,-,-,-,100.0,neuroendocrine_Rao2020
ovarian,Geistlinger2020,success,0.7619,0.5806,0.7487,-,-,-,100.0,ovarian_Geistlinger2020
